8-8:30 x=146, y=644
8:30-9 x=407, y=644
9-9:30 x=668, y=644
9:30-10 x=900, y=642
10-10:30 x=1164, y=644
10:30-11 x=1421, y=638
11-11:30 x=1657, y=647
11:30-12 x=1925, y=644
12-12:30 x=2182, y=642
12:30-13 x=2418, y=644
13-13:30 x=145, y=741
13:30-14 x=407, y=741
14-14:30 x=642, y=742
14:30-15 x=905, y=741
15-15:30 x=1163, y=735
15:30-16 x=1399, y=744
16-16:30 x=1662, y=742
16:30-17 x=1922, y=740
17-17:30 x=2156, y=740
17:30-18 x=2418, y=742
18-18:30 x=146, y=833
18:30-19 x=380, y=834
19-19:30 x=644, y=833
19:30-20 x=903, y=833
20-20:30 x=1140, y=833
20:30-21 x=1400, y=833
21-21:30 x=1659, y=837
21:30-22 x=1894, y=836
