8-8:30 x=133, y=624
8:30-9 x=420, y=624
9-9:30 x=677, y=624
9:30-10 x=900, y=622
10-10:30 x=1155, y=624
10:30-11 x=1421, y=618
11-11:30 x=1657, y=627
11:30-12 x=1925, y=624
12-12:30 x=2182, y=622
12:30-13 x=148, y=721
13-13:30 x=424, y=719
13:30-14 x=674, y=719
14-14:30 x=905, y=722
14:30-15 x=1164, y=721
15-15:30 x=1424, y=715
15:30-16 x=1667, y=724
16-16:30 x=1926, y=722
16:30-17 x=2174, y=720
17-17:30 x=147, y=816
17:30-18 x=408, y=815
18-18:30 x=669, y=813
18:30-19 x=902, y=814
19-19:30 x=1173, y=813
19:30-20 x=1424, y=813
20-20:30 x=1667, y=813
20:30-21 x=1924, y=813
21-21:30 x=2185, y=817
21:30-22 x=147, y=910
