8-8:30 x=146, y=624
8:30-9 x=407, y=624
9-9:30 x=668, y=624
9:30-10 x=900, y=622
10-10:30 x=1164, y=624
10:30-11 x=1421, y=618
11-11:30 x=1657, y=627
11:30-12 x=1925, y=624
12-12:30 x=2182, y=622
12:30-13 x=2418, y=624
13-13:30 x=145, y=721
13:30-14 x=407, y=721
14-14:30 x=642, y=722
14:30-15 x=905, y=721
15-15:30 x=1163, y=715
15:30-16 x=1399, y=724
16-16:30 x=1662, y=722
16:30-17 x=1922, y=720
17-17:30 x=2156, y=720
17:30-18 x=2418, y=722
18-18:30 x=146, y=813
18:30-19 x=380, y=814
19-19:30 x=644, y=813
19:30-20 x=903, y=813
20-20:30 x=1140, y=813
20:30-21 x=1400, y=813
21-21:30 x=1659, y=817
21:30-22 x=1894, y=816
